import time: self [us] | cumulative | imported package
import time:       650 |      14703 |               scipy.sparse._csr
import time:       604 |        604 |               scipy.sparse._csc
import time:      1422 |       1422 |                 scipy.sparse._csparsetools
import time:       658 |       2080 |               scipy.sparse._lil
import time:       708 |        708 |               scipy.sparse._dok
import time:       758 |        758 |               scipy.sparse._coo
import time:       698 |        698 |               scipy.sparse._dia
import time:       684 |        684 |               scipy.sparse._bsr
import time:       651 |        651 |               scipy.sparse._construct
import time:       509 |        509 |               scipy.sparse._extract
import time:       497 |        497 |               scipy.sparse._matrix_io
import time:       797 |        797 |                         scipy.sparse.linalg._interface
import time:       531 |        531 |                         scipy.sparse.linalg._isolve.utils
import time:      1108 |       1108 |                               scipy.linalg._fblas
import time:       106 |        106 |                               scipy.linalg._cblas
import time:        94 |         94 |                               scipy.linalg._fblas_64
import time:       646 |       1953 |                             scipy.linalg.blas
import time:      1452 |       1452 |                               scipy.linalg._flapack
import time:       109 |        109 |                               scipy.linalg._clapack
import time:        92 |         92 |                               scipy.linalg._flapack_64
import time:      1240 |       2892 |                             scipy.linalg.lapack
import time:       833 |       5677 |                           scipy.linalg._misc
import time:      1793 |       1793 |                             scipy.linalg.cython_lapack
import time:      1077 |       2869 |                           scipy.linalg._cythonized_array_utils
import time:       690 |        690 |                             scipy.linalg._decomp
import time:       567 |        567 |                             scipy.linalg._decomp_svd
import time:      1108 |       1108 |                             scipy.linalg._solve_toeplitz
import time:       885 |       3249 |                           scipy.linalg._basic
import time:      1027 |       1027 |                             scipy.linalg._decomp_lu_cython
import time:       608 |       1635 |                           scipy.linalg._decomp_lu
import time:       544 |        544 |                           scipy.linalg._decomp_ldl
import time:       650 |        650 |                           scipy.linalg._decomp_cholesky
import time:       539 |        539 |                           scipy.linalg._decomp_qr
import time:       538 |        538 |                           scipy.linalg._decomp_qz
import time:       642 |        642 |                           scipy.linalg._decomp_schur
import time:       502 |        502 |                           scipy.linalg._decomp_polar
import time:       524 |        524 |                             scipy.linalg._expm_frechet
import time:       996 |        996 |                               scipy.linalg._matfuncs_sqrtm_triu
import time:       552 |       1547 |                             scipy.linalg._matfuncs_sqrtm
import time:      1113 |       1113 |                               scipy.linalg.cython_blas
import time:      1017 |       2130 |                             scipy.linalg._matfuncs_expm
import time:       613 |       4813 |                           scipy.linalg._matfuncs
import time:       617 |        617 |                           scipy.linalg._special_matrices
import time:       584 |        584 |                           scipy.linalg._solvers
import time:      9695 |       9695 |                           scipy.linalg._procrustes
import time:      1076 |       1076 |                           scipy.linalg._decomp_update
import time:       518 |        518 |                           scipy.linalg._sketches
import time:       541 |        541 |                           scipy.linalg._decomp_cossin
import time:       539 |        539 |                             scipy._lib.deprecation
import time:       512 |       1050 |                           scipy.linalg.decomp
import time:       495 |        495 |                           scipy.linalg.decomp_cholesky
import time:       478 |        478 |                           scipy.linalg.decomp_lu
import time:       476 |        476 |                           scipy.linalg.decomp_qr
import time:       491 |        491 |                           scipy.linalg.decomp_svd
import time:       489 |        489 |                           scipy.linalg.decomp_schur
import time:       477 |        477 |                           scipy.linalg.basic
import time:       474 |        474 |                           scipy.linalg.misc
import time:       485 |        485 |                           scipy.linalg.special_matrices
import time:       479 |        479 |                           scipy.linalg.matfuncs
import time:      1037 |      41109 |                         scipy.linalg
import time:       841 |      43277 |                       scipy.sparse.linalg._isolve.iterative
import time:       566 |        566 |                       scipy.sparse.linalg._isolve.minres
import time:       617 |        617 |                         scipy.sparse.linalg._isolve._gcrotmk
import time:       586 |       1203 |                       scipy.sparse.linalg._isolve.lgmres
import time:       603 |        603 |                       scipy.sparse.linalg._isolve.lsqr
import time:       576 |        576 |                       scipy.sparse.linalg._isolve.lsmr
import time:       591 |        591 |                       scipy.sparse.linalg._isolve.tfqmr
import time:       882 |      47694 |                     scipy.sparse.linalg._isolve
import time:       753 |        753 |                               org
import time:        38 |        791 |                             org.python
import time:        37 |        827 |                           org.python.core
import time:      1533 |       2359 |                         copy
import time:      1031 |       1031 |                         scipy.sparse.linalg._dsolve._superlu
import time:       683 |        683 |                           scikits
import time:        27 |        709 |                         scikits.umfpack
import time:       943 |       5041 |                       scipy.sparse.linalg._dsolve.linsolve
import time:       526 |        526 |                       scipy.sparse.linalg._dsolve._add_newdocs
import time:       654 |       6220 |                     scipy.sparse.linalg._dsolve
import time:      1289 |       1289 |                             scipy._lib.decorator
import time:       803 |       2091 |                           scipy._lib._threadsafety
import time:     32600 |      32600 |                           scipy.sparse.linalg._eigen.arpack._arpack
import time:      1205 |      35895 |                         scipy.sparse.linalg._eigen.arpack.arpack
import time:       792 |      36687 |                       scipy.sparse.linalg._eigen.arpack
import time:       858 |        858 |                         scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       684 |       1541 |                       scipy.sparse.linalg._eigen.lobpcg
import time:       337 |        337 |                           scipy.sparse.linalg._propack
import time:      1224 |       1224 |                           scipy.sparse.linalg._propack._spropack
import time:       951 |        951 |                           scipy.sparse.linalg._propack._dpropack
import time:       932 |        932 |                           scipy.sparse.linalg._propack._cpropack
import time:      1003 |       1003 |                           scipy.sparse.linalg._propack._zpropack
import time:       756 |       5201 |                         scipy.sparse.linalg._svdp
import time:       571 |       5771 |                       scipy.sparse.linalg._eigen._svds
import time:       607 |      44605 |                     scipy.sparse.linalg._eigen
import time:       621 |        621 |                         scipy.sparse.linalg._onenormest
import time:       640 |       1260 |                       scipy.sparse.linalg._expm_multiply
import time:       715 |       1974 |                     scipy.sparse.linalg._matfuncs
import time:       558 |        558 |                     scipy.sparse.linalg._norm
import time:       773 |        773 |                     scipy.sparse.linalg._special_sparse_arrays
import time:       512 |        512 |                     scipy.sparse.linalg.isolve
import time:       488 |        488 |                     scipy.sparse.linalg.dsolve
import time:       561 |        561 |                     scipy.sparse.linalg.interface
import time:       483 |        483 |                     scipy.sparse.linalg.eigen
import time:       485 |        485 |                     scipy.sparse.linalg.matfuncs
import time:       765 |     105113 |                   scipy.sparse.linalg
import time:       808 |     105921 |                 scipy.sparse.csgraph._laplacian
import time:       910 |        910 |                     scipy.sparse.csgraph._tools
import time:       535 |       1445 |                   scipy.sparse.csgraph._validation
import time:      1111 |       2555 |                 scipy.sparse.csgraph._shortest_path
import time:       972 |        972 |                 scipy.sparse.csgraph._traversal
import time:       992 |        992 |                 scipy.sparse.csgraph._min_spanning_tree
import time:      1038 |       1038 |                 scipy.sparse.csgraph._flow
import time:       984 |        984 |                 scipy.sparse.csgraph._matching
import time:      1124 |       1124 |                 scipy.sparse.csgraph._reordering
import time:       695 |     114277 |               scipy.sparse.csgraph
import time:       565 |        565 |               scipy.sparse.base
import time:       519 |        519 |               scipy.sparse.bsr
import time:       511 |        511 |               scipy.sparse.compressed
import time:       501 |        501 |               scipy.sparse.construct
import time:       508 |        508 |               scipy.sparse.coo
import time:       496 |        496 |               scipy.sparse.csc
import time:       482 |        482 |               scipy.sparse.csr
import time:       485 |        485 |               scipy.sparse.data
import time:       490 |        490 |               scipy.sparse.dia
import time:       535 |        535 |               scipy.sparse.dok
import time:       491 |        491 |               scipy.sparse.extract
import time:      9976 |       9976 |               scipy.sparse.lil
import time:       579 |        579 |               scipy.sparse.sparsetools
import time:       487 |        487 |               scipy.sparse.sputils
import time:      1214 |     194421 |             scipy.sparse
import time:      1472 |     195945 |           astra.matrix_c
import time:       968 |     388453 |         astra.matlab
import time:       504 |        504 |           astra.data2d
import time:       489 |        489 |           astra.data3d
import time:       479 |        479 |           astra.projector
import time:      1530 |       1530 |             astra.projector3d_c
import time:       558 |       2088 |           astra.projector3d
import time:       514 |        514 |           astra.algorithm
import time:       710 |       4781 |         astra.creators
import time:       545 |        545 |         astra.functions
import time:      1356 |       1356 |         astra.extrautils
